                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8777,                  9.431,                 1.4735,                0.00131,                0.36957,                0.00136,                0.00048,                 2.0556,                 10.979,                 1.6866,                 0.0003,                 0.0003,                 0.0003
                      1,                  2.055,                 3.2724,                 1.5604,                0.12286,                0.17391,                0.10481,                0.03455,                 2.3397,                  4.376,                 2.2016,             0.00060772,             0.00060772,             0.00060772
                      2,                 1.9779,                 2.5189,                 1.5733,                 0.0008,                0.23913,                0.00056,                0.00017,                    nan,                    nan,                    nan,             0.00090278,             0.00090278,             0.00090278
                      3,                 2.0636,                 2.3082,                 1.6925,                 0.0008,                0.23913,                0.00056,                0.00017,                    nan,                    nan,                    nan,              0.0011852,              0.0011852,              0.0011852
                      4,                 2.1084,                 2.1161,                 1.7284,                 0.0008,                0.23913,                0.00056,                0.00017,                 5.1596,                 18.908,                 11.312,              0.0014549,              0.0014549,              0.0014549
                      5,                 2.1384,                 2.2083,                   1.69,                  7e-05,                0.02174,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017119,              0.0017119,              0.0017119
                      6,                 2.0973,                 2.3155,                  1.751,                  7e-05,                0.02174,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      7,                 1.9783,                   2.07,                 1.6579,                  7e-05,                0.02174,                  7e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0378,                 1.8744,                 1.6799,                  7e-05,                0.02174,                  7e-05,                  1e-05,                 4.0859,                    inf,                 117.31,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9955,                 1.7272,                 1.6313,                0.01343,                0.02174,                0.00257,                0.00106,                 2.7931,                 64.348,                 2.4482,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.0312,                  1.789,                  1.637,                0.03213,                 0.1087,                0.01126,                0.00486,                 2.3313,                 40.448,                 2.3207,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0137,                 1.6747,                  1.666,                0.00983,                0.19565,                0.00571,                0.00274,                 2.4867,                  28.56,                 2.1416,               0.001604,               0.001604,               0.001604
                     12,                 1.9074,                 1.6018,                  1.624,                0.37494,                0.30435,                 0.2327,                0.09323,                 2.2256,                 3.4653,                 1.9508,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9722,                 1.7394,                 1.6428,                0.54512,                0.34783,                0.38901,                0.16811,                 2.1622,                 2.3085,                 1.8763,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.845,                 1.5494,                 1.5672,                0.76569,                0.43478,                0.42883,                0.15535,                 2.2688,                 2.8816,                 2.0949,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.8055,                  1.555,                 1.5743,                0.72898,                0.45652,                0.52229,                0.16732,                 2.0963,                 1.9984,                 1.8797,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.8125,                 1.4101,                 1.4871,                0.70658,                0.43478,                0.50116,                0.18821,                 2.1922,                 2.2321,                 1.9061,               0.001406,               0.001406,               0.001406
                     17,                 1.7718,                 1.3989,                 1.5112,                0.78927,                0.48872,                0.59675,                0.22894,                 1.9395,                 1.7216,                 1.6377,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.7521,                 1.4129,                 1.5219,                0.53288,                 0.3913,                0.48345,                0.19435,                 2.1359,                 1.9123,                 1.7567,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.7578,                 1.3793,                 1.4754,                0.89967,                0.30435,                0.44038,                0.20538,                 2.1077,                 2.0212,                  1.768,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6659,                 1.3411,                 1.4151,                0.83365,                0.43478,                0.54177,                0.20654,                 2.0779,                 1.6987,                 1.8313,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.738,                 1.3731,                 1.4478,                0.52818,                0.45652,                0.52607,                0.24041,                 2.0128,                 2.1778,                 1.7547,               0.001208,               0.001208,               0.001208
                     22,                 1.7023,                 1.2634,                 1.4054,                 0.7661,                0.47826,                0.57453,                0.28415,                 1.9568,                 1.6069,                 1.6714,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6482,                 1.2114,                 1.3546,                0.67043,                0.56522,                  0.613,                0.26841,                 1.9983,                 1.6212,                 1.6131,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6595,                 1.1606,                 1.3946,                0.65237,                0.45652,                 0.5556,                0.26897,                 2.0513,                  1.655,                 1.6751,              0.0010892,              0.0010892,              0.0010892
